"","text","yearweek"
"66","thank gd  vaccine happened  trumps administration vaccination covid19 trump coronavirus",202051
"67","queens first   nation im just  promoting  transplanted sense  nyc exceptionalism

",202051
"68","nytimes",202051
"69"," first covid19 vaccine dose  just administered    us",202051
"70"," first coronavirus vaccine  administered  america  boy   cuomo pr machine working hard  checking   boxes
 black
 woman
 immigrant
 nurse
 pretty
 jewish medical center

im thrilled     america  lolz vaccination covid19",202051
"71","governor cuomo office     live streaming first coronavirus vaccination  new york",202051
"72","vaccination day   healthcare workers across  country  begin getting  pfizer coronavirus vaccine",202051
"73","san diego county announces covid19 influenza vaccine plans
covid19 vaccination doses currently  shipped    us amp  arrive  early  tomorrow
hopefully  covid19 pandemics ends  soon",202050
"74","san diego county announces covid19 influenza vaccine plans
hey 
truckloads  covid19 vaccination doses   shipped amp  arrive   united states  early  tomorrow  cvs amp  pharmacy retailers   us",202050
"75","san diego county announces covid19 influenza vaccine plans
truckloads  covid19 vaccination doses  now  shipped amp  arrive   us   early  tomorrow",202050
"76","san diego county announces covid19 influenza vaccine plans
covid19 vaccination doses  now  shipped amp  arrive   us  early  tomorrow  local pharmacy retailers
onat 8am anchorwill  fuher details",202050
"77","admtheyre  crooks liars theyll  gone sholy heresscuttlebutt  coronavirus vaccination schedule elderly doctors nurses first responders essential workers head   line everybody else spring summer democrats control congress
dump moscowmitch",202050
"78","news  can use even   get pfizer vaccine   many unknowns  biggie  can  still transmit virus  vaccination  scientists  guessing can shed virus  receiving vaccine   75  95 dont get vaccinated coronavirus    long time",202050
"79"," vaccination phase   coronavirus pandemic  just hours away  brings hope  massive logistical amp security challenges",202050
"80","dr drees discusses covid19 vaccination strategy  healthcare workersfirst coronavirus vaccines head  states staing historic effo",202050
"81","please paicipate  share  survey   can express  opinion   covid19vaccine



covid19 vaccine vaccination coronaviruscovid

prof  seidmann boston univ ma usa dr abenis prof sashkenazi hit israel",202050
"82","  prepared  sho survey   can express  opinion   coronavaccine    living   unitedstatesofamerica please take amp share  survey

covid19 vaccination coronavirus pandemic covid19france research healthcare",202050
"83","join us tonight live  11
pfizer vaccine gets greenlight nv ready  distribution 
",202050
